preco;area;quartos;vagas;banheiros;link;Imobiliaria;bairro;Data_scrape;last_seen
15000000.0;5000.0;60;0.0;60;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-vila_independencia-predio_comercial-6520;Junqueira;Vila_independencia;2023-05-10;2023-06-23
13000000.0;15600.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-dois_corregos-area-11118;Junqueira;Dois_corregos;2023-05-10;2023-06-23
13000000.0;9299.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-centro-area-11026;Junqueira;Centro;2023-05-10;
11000000.0;2865.0;0;80.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-jardim_pacaembu-predio_comercial-23801;Junqueira;Jardim_pacaembu;2023-05-10;
8000000.0;1256.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-centro-predio_comercial-19738;Junqueira;Centro;2023-05-10;2023-06-23
8000000.0;3200.0;1;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-unileste-galpao-14752;Junqueira;Unileste;2023-05-10;2023-06-23
8000000.0;32400.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-bongue-area-20308;Junqueira;Bongue;2023-05-10;2023-06-23
7920000.0;7920.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-campestre-area-19424;Junqueira;Campestre;2023-05-10;2023-06-23
7800000.0;96800.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-pau_queimado-area-22473;Junqueira;Pau_queimado;2023-05-10;2023-06-23
7000000.0;85852.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-pau_queimado-area-22472;Junqueira;Pau_queimado;2023-05-10;2023-06-23
6800000.0;20810.0;1;1.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-agua_branca-area-18158;Junqueira;Agua_branca;2023-05-10;
6500000.0;40000.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-campestre-area-17640;Junqueira;Campestre;2023-05-10;2023-06-23
5800000.0;2764.0;0;44.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-agua_branca-galpao-24546;Junqueira;Agua_branca;2023-05-10;2023-06-23
5800000.0;435600.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-canal_torto-sitio_ou_fazenda-10636;Junqueira;Canal_torto;2023-05-10;2023-06-23
4800000.0;1514.0;0;30.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-santa_terezinha-predio_comercial-9916;Junqueira;Santa_terezinha;2023-05-10;2023-06-23
4542000.0;2270.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-piracicamirim-area-22504;Junqueira;Piracicamirim;2023-05-10;2023-06-23
4500000.0;1356.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-centro-casa_comercial-21557;Junqueira;Centro;2023-05-10;
4300000.0;450.0;4;0.0;4;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-monte_alegre-casa_em_condominio-19025;Junqueira;Monte_alegre;2023-05-10;2023-06-23
4235550.0;8308.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-rio_das_pedras-centro-terreno-22682;Junqueira;Centro;2023-05-10;2023-06-23
4100000.0;420.0;5;12.0;2;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-centro-casa-6673;Junqueira;Centro;2023-05-10;2023-06-23
4000000.0;405.0;4;8.0;4;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-nova_piracicaba-casa_em_condominio-23620;Junqueira;Nova_piracicaba;2023-05-10;
4000000.0;22513.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-itaperu-area-21397;Junqueira;Itaperu;2023-05-10;
4000000.0;578.0;3;4.0;3;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-agua_seca-casa_em_condominio-19716;Junqueira;Agua_seca;2023-05-10;2023-06-23
3900000.0;1820.0;0;10.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-santa_terezinha-galpao-6562;Junqueira;Santa_terezinha;2023-05-10;2023-06-23
3900000.0;317.0;3;4.0;3;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-alphaville_piracicaba-casa_em_condominio-23900;Junqueira;Alphaville_piracicaba;2023-05-10;
3800000.0;312.0;0;0.0;0;https://www.imobiliariajunqueira.com.br/imovel/venda-piracicaba-centro-predio_comercial-22942;Junqueira;Centro;2023-05-10;
