preco;area;quartos;vagas;banheiros;link;Imobiliaria;bairro;Data_scrape;last_seen
25.0;185.25;3;1;2;https://www.friasneto.com.br/alugar/residencial/piracicaba/nova-america/residencial-alugar-nova-america-em-piracicaba/148274;Frias Neto;Nova_america;2023-10-07;2023-10-08
300.0;150.0;0;0;0;https://www.friasneto.com.br/alugar/comercial/piracicaba/monte-rey/comercial-alugar-monte-rey-em-piracicaba/140243;Frias Neto;Monte_rey;2023-10-07;2023-12-18
350.0;30.0;1;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-sao_judas-casa-15542;Junqueira;Sao_judas;2023-10-07;2023-10-07
400.0;6.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-unileste-sala_comercial-2001;Junqueira;Unileste;2023-10-07;2023-10-07
400.0;6.3;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-6-m-vila-independencia-piracicaba/SA0492-003?from=sale;duo imoveis;Vila_independencia;2023-10-07;2023-12-18
400.0;6.3;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-6-m-vila-independencia-piracicaba/sa0492-003?from=sale;duo imoveis;Vila_independencia;2023-11-01;2023-11-03
400.0;6.8;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-vila_independencia-sala_comercial-23891;Junqueira;Vila_independencia;2023-10-07;2023-10-07
400.0;8.0;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-8-m-alto-piracicaba/SA0442-003?from=sale;duo imoveis;Alto;2023-10-07;2023-12-18
400.0;8.0;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-8-m-alto-piracicaba/sa0442-003?from=sale;duo imoveis;Alto;2023-11-01;2023-11-03
400.0;8.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-23306;Junqueira;Centro;2023-10-07;2023-10-07
400.0;35.0;1;0;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/centro/residencial-alugar-centro-em-piracicaba/8530;Frias Neto;Centro;2023-11-10;2023-11-15
400.0;250.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-terreno-4989;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
450.0;20.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_monumento-sala_comercial-1159;Junqueira;Jardim_monumento;2023-10-07;2023-10-07
450.0;30.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-3220;Junqueira;Centro;2023-10-07;2023-10-07
450.0;37.9;1;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-sao_dimas-casa-636;Junqueira;Sao_dimas;2023-10-07;2023-10-07
450.0;40.0;1;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/vila-monteiro/residencial-alugar-vila-monteiro-em-piracicaba/472;Frias Neto;Vila_monteiro;2023-10-07;2023-10-19
450.0;55.0;0;1;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/41311;Frias Neto;Centro;2023-10-07;2023-12-18
450.0;306.0;0;0;0;https://www.friasneto.com.br/alugar/comercial/piracicaba/monte-rey/comercial-alugar-monte-rey-em-piracicaba/140244;Frias Neto;Monte_rey;2023-10-07;2023-12-18
475.2;9.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-paulista-predio_comercial-23619;Junqueira;Paulista;2023-10-07;2023-10-07
490.0;15.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-sala_comercial-15315;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
490.0;55.0;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-55-m-centro-piracicaba/SA0524-003?from=sale;duo imoveis;Centro;2023-11-11;2023-12-18
