preco;condominio;area;quartos;vagas;banheiros;link;imobiliaria;data_scrape;bairro;status;tipo;last_seen
520000000.0;;132.0;3;2;2;https://www.friasneto.com.br/comprar/residencial/piracicaba/agua-branca/residencial-comprar-agua-branca-em-piracicaba/148161;Frias_neto;2024-01-17;Agua_branca;Compra;Apartamento;2024-02-05
36000000.0;;69230.84;0;1;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/taquaral/comercial-comprar-taquaral-em-piracicaba/146665;Frias_neto;2023-10-30;Taquaral;Compra;Casa;2024-02-12
17000000.0;;1000.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/alemaes/comercial-comprar-alemaes-em-piracicaba/138903;Frias_neto;2023-10-30;Alemaes;Compra;Casa;2024-02-12
15000000.0;;9590.83;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/vila-independencia/comercial-comprar-vila-independencia-em-piracicaba/131081;Frias_neto;2023-10-30;Vila_independencia;Compra;Casa;2024-02-12
15000000.0;;3040.0;0;13;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/morumbi/comercial-comprar-morumbi-em-piracicaba/31921;Frias_neto;2023-10-30;Morumbi;Compra;Casa;2024-02-12
7000000.0;;129494.86;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/campestre/comercial-comprar-campestre-em-piracicaba/145798;Frias_neto;2023-10-30;Campestre;Compra;Casa;2024-02-12
7000000.0;;23000.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/campestre/comercial-comprar-campestre-em-piracicaba/119609;Frias_neto;2023-10-30;Campestre;Compra;Casa;2024-02-12
6500000.0;;40000.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/chico/comercial-comprar-chico-em-piracicaba/140107;Frias_neto;2023-10-30;Chico;Compra;Casa;2023-10-31
6000000.0;;1669.5;0;40;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/40888;Frias_neto;2024-01-17;Centro;Compra;Casa;2024-02-12
5700000.0;;193600.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/taquaral/comercial-comprar-taquaral-em-piracicaba/148504;Frias_neto;2024-01-17;Taquaral;Compra;Casa;2024-02-12
5500000.0;;365.0;4;5;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/146799;Frias_neto;2024-01-17;Nova_piracicaba;Compra;Apartamento;2024-01-19
5100000.0;;930.0;5;6;8;https://www.friasneto.com.br/comprar/residencial/piracicaba/damha/residencial-comprar-damha-em-piracicaba/148496;Frias_neto;2024-01-18;Damha;Compra;Apartamento;2024-02-12
5100000.0;;930.0;5;6;8;https://www.friasneto.com.br/comprar/residencial/piracicaba/ondas/residencial-comprar-ondas-em-piracicaba/148496;Frias_neto;2024-01-17;Ondas;Compra;Apartamento;2024-01-17
